         963172 function calls (949932 primitive calls) in 4.794 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     2982    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:3062(<genexpr>)
    184/3    0.001    0.000    0.079    0.026 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2653(destroy)
      127    0.001    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\dtypes\base.py:549(find)
      136    0.001    0.000    0.025    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_docstring.py:38(__call__)
     5467    0.001    0.000    0.001    0.000 {method 'strip' of 'str' objects}
       26    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\internals\managers.py:1066(iset)
    162/3    0.001    0.000    1.153    0.384 <frozen importlib._bootstrap>:1304(_find_and_load_unlocked)
     3267    0.001    0.000    0.001    0.000 {built-in method builtins.setattr}
        6    0.001    0.000    0.001    0.000 {built-in method nt._path_exists}
      183    0.001    0.000    0.098    0.001 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2636(__init__)
       70    0.001    0.000    0.002    0.000 <frozen abc>:105(__new__)
        1    0.001    0.001    0.008    0.008 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\helpers.py:1(<module>)
      691    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:175(get_annotations)
      461    0.001    0.000    0.003    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\copy.py:61(copy)
      183    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:2606(_setup)
     1548    0.001    0.000    0.001    0.000 {method 'match' of 're.Pattern' objects}
      219    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap>:426(_get_module_lock)
      153    0.001    0.000    0.331    0.002 <frozen importlib._bootstrap_external>:1183(get_data)
       94    0.001    0.000    0.011    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\__init__.py:1404(_preprocess_data)
      169    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\colors.py:310(_to_rgba_no_colorcycle)
        6    0.001    0.000    0.001    0.000 {method 'set_character_set' of '_mysql_connector.MySQL' objects}
   306/12    0.001    0.000    0.003    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:811(_parseNoCache)
      244    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\core.py:461(__init__)
    79/78    0.001    0.000    0.006    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\series.py:389(__init__)
       24    0.001    0.000    0.006    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\enum.py:515(__new__)
       65    0.001    0.000    0.002    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\_api\deprecation.py:128(deprecate)
      356    0.001    0.000    0.002    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\inspect.py:798(_finddoc)
     1100    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\dtypes\base.py:238(construct_from_string)
  357/175    0.001    0.000    0.015    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_parser.py:452(_parse_sub)
   275/81    0.001    0.000    0.993    0.012 <frozen importlib._bootstrap>:1390(_handle_fromlist)
       65    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:243(_optimize_charset)
      581    0.001    0.000    0.001    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\tkinter\__init__.py:102(_cnfmerge)
    160/3    0.001    0.000    1.148    0.383 <frozen importlib._bootstrap>:911(_load_unlocked)
      159    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:802(spec_from_file_location)
        6    0.001    0.000    0.001    0.000 {method 'close' of '_mysql_connector.MySQL' objects}
      174    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pandas\core\generic.py:6236(__finalize__)
      175    0.001    0.000    0.024    0.000 C:\Users\storm\AppData\Local\Programs\Python\Python312\Lib\re\_compiler.py:740(compile)
      977    0.001    0.000    0.001    0.000 {method 'replace' of 'str' objects}
     2686    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\pyparsing\util.py:189(is_consecutive)
      160    0.001    0.000    0.005    0.000 <frozen importlib._bootstrap>:733(_init_module_attrs)
      219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:124(setdefault)
     4798    0.001    0.000    0.001    0.000 G:\マイドライブ\staff_manegement_project\.venv\Lib\site-packages\matplotlib\artist.py:1563(<genexpr>)
      219    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap>:372(release)
